"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"231",2509,"NG7",25,1,40,2,1,2,2,3,5,3,10,"A","","C","","","","","","","","",3,2,2,2,NA
"232",2510,"NG7",25,1,27,2,6,0,2,3,7,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"233",2601,"NG7",26,2,29,2,6,0,2,3,4,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"234",2602,"NG7",37,2,53,2,3,4,1,3,3,3,3,"A","B","C","","","","","","","","",2,1,1,2,NA
"235",2603,"NG7",15,1,36,1,1,3,2,3,4,3,3,"A","B","","","","","","","","X","",2,1,1,1,1
"236",2604,"NG7",26,2,36,2,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"237",2605,"NG7",15,1,40,2,1,3,2,3,2,2,5,"A","B","C","","","","","","","","",96,2,1,1,1
"238",2606,"NG7",26,2,49,1,1,2,2,3,4,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"239",2607,"NG7",26,2,45,1,1,3,2,3,4,2,96,"A","B","","","","","","","","","",96,1,1,1,1
"240",2608,"NG7",26,1,46,2,1,5,1,3,7,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"241",2609,"NG7",26,2,42,2,1,0,1,3,4,2,96,"A","B","","","","","","","","X","",96,2,2,2,NA
"242",2701,"NG7",15,1,32,2,1,1,2,3,4,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"243",2702,"NG7",15,2,29,1,1,0,2,3,4,3,96,"A","B","","","","","","","","","",96,2,2,1,1
"244",2703,"NG7",27,1,29,2,1,2,2,3,4,3,96,"A","B","","","","","","","","X","",96,2,1,1,1
"245",2704,"NG7",15,1,29,1,6,0,2,3,4,3,3,"A","B","","","","","","H","","","",2,2,1,2,NA
"246",2705,"NG7",27,1,30,2,1,1,2,3,4,1,96,"A","B","","","","","","","","X","",96,2,1,1,1
"247",2706,"NG7",26,2,26,2,1,0,2,3,3,3,8,"A","B","","","","","","","I","","",2,2,1,2,NA
"248",2707,"NG7",15,2,48,1,1,12,1,3,4,3,96,"","","","","","","","","","X","",96,2,1,1,1
"249",2708,"NG7",27,2,46,1,1,5,1,3,4,3,3,"A","B","","","","","","","","","",2,1,1,2,NA
"250",2709,"NG7",27,2,48,1,1,6,2,3,5,3,3,"A","B","","","","","","","","","",96,2,1,2,NA
"251",2710,"NG7",27,2,50,2,1,5,2,3,2,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"252",2801,"NG7",28,1,52,2,1,3,2,3,5,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"253",2802,"NG7",15,1,33,1,1,1,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"254",2803,"NG7",25,2,25,1,5,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"255",2804,"NG7",28,2,49,2,1,2,2,3,3,3,10,"A","","C","","","","","","","","",3,2,1,1,1
"256",2805,"NG7",28,1,31,2,1,2,2,3,6,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"257",2806,"NG7",15,1,36,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"258",2807,"NG7",28,1,53,1,1,3,2,3,4,1,10,"A","","C","","","","","","","","",3,1,1,1,1
"259",2808,"NG7",28,2,42,1,1,3,2,3,5,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"260",2809,"NG7",28,2,34,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"261",2901,"NG7",9,2,37,2,1,0,2,3,4,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"262",2902,"NG7",29,1,33,1,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"263",2903,"NG7",29,1,32,2,1,3,2,3,4,3,10,"A","","C","","","","","","","","",3,2,2,2,NA
"264",2904,"NG7",29,1,34,1,1,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"265",2905,"NG7",29,1,50,2,1,1,2,3,5,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"266",2906,"NG7",29,1,41,2,6,0,2,3,5,3,10,"A","","C","","","","","","","","",3,2,1,1,1
"267",2907,"NG7",15,1,57,1,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"268",2908,"NG7",29,1,38,1,1,3,2,3,1,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"269",2909,"NG7",29,1,32,2,1,3,2,3,1,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"270",3001,"NG7",30,1,44,2,1,3,2,3,4,3,10,"A","","C","","","","","","","","",3,1,1,1,1
"271",3002,"NG7",30,1,43,2,3,3,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"272",3003,"NG7",15,1,25,1,6,0,1,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,2
"273",3004,"NG7",15,1,33,2,1,1,2,3,6,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"274",3005,"NG7",31,1,37,2,1,4,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"275",3006,"NG7",31,1,31,1,1,1,2,3,4,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"276",3007,"NG7",30,1,39,1,1,3,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"277",3008,"NG7",30,1,40,1,1,3,2,3,10,1,10,"A","","C","","","","","","","","",3,2,1,2,NA
"278",3009,"NG7",30,2,40,2,1,2,2,3,3,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"279",3101,"NG7",31,1,31,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"280",3102,"NG7",31,1,35,1,1,3,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"281",3103,"NG7",31,2,30,1,6,0,2,3,5,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"282",3104,"NG7",31,1,41,2,1,4,2,3,10,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"283",3105,"NG7",31,1,33,2,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"284",3106,"NG7",31,1,33,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"285",3107,"NG7",29,2,34,2,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"286",3108,"NG7",31,1,47,1,1,4,2,3,5,1,10,"A","","C","","","","","","","","",3,2,1,1,1
"287",3109,"NG7",31,1,40,1,1,3,2,3,5,2,10,"A","","C","","","","","","","","",3,1,1,2,NA
"288",3110,"NG7",31,1,49,2,1,4,2,3,4,2,10,"A","","C","D","","","","","","","",4,2,1,2,NA
"289",3201,"NG7",16,1,36,2,6,0,2,3,5,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"290",3202,"NG7",32,1,37,2,1,0,2,3,6,1,96,"A","B","C","","","","","","","X","",96,2,1,1,1
"291",3203,"NG7",32,1,32,2,1,3,2,3,3,1,96,"A","B","","","","","","","","","",96,2,1,1,1
"292",3204,"NG7",32,1,43,2,3,2,2,3,5,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"293",3205,"NG7",15,1,41,1,1,2,2,3,6,2,5,"A","","","","","","","","","","",96,2,1,1,1
"294",3206,"NG7",32,1,32,1,1,2,2,3,3,2,96,"A","B","","","","","","","","X","",96,2,1,1,1
"295",3207,"NG7",32,2,46,1,1,4,1,3,2,2,96,"A","B","","","","","","","","","",96,1,1,1,1
"296",3208,"NG7",32,2,51,1,2,3,2,3,5,2,96,"","","","","","","","","","X","",96,2,1,2,NA
"297",3209,"NG7",32,2,33,2,6,0,2,3,3,2,96,"","","","","","","","","","X","",96,2,1,2,NA
"298",3301,"NG7",15,1,35,2,6,0,2,3,6,2,6,"A","","","D","","","","","","","",4,2,2,1,1
"299",3302,"NG7",33,1,33,1,6,0,2,3,4,1,6,"A","B","","D","","","","","","","",4,1,2,1,1
"300",3303,"NG7",33,1,44,2,3,1,2,3,4,2,7,"A","","","D","","","","","","X","",96,1,1,1,1
"301",3304,"NG7",33,1,43,2,4,0,2,3,4,2,7,"A","","C","","","","","","","X","",96,1,1,1,1
"302",3305,"NG7",33,1,34,1,1,1,2,3,5,2,96,"A","","","","","","","","","X","",96,2,1,1,1
"303",3306,"NG7",33,1,56,2,1,1,2,3,4,2,96,"A","","","","","F","","","","X","",96,2,1,1,1
"304",3307,"NG7",33,2,54,1,1,6,1,3,4,2,96,"A","","","D","","","","","","X","",96,1,1,1,1
"305",3308,"NG7",33,1,38,2,1,3,2,3,5,2,7,"A","","","D","","","","","","","",4,2,1,2,NA
"306",3309,"NG7",33,1,54,2,1,2,2,3,5,2,7,"A","","","","","","","","","X","",96,2,2,2,NA
"307",3401,"NG7",15,1,31,2,6,0,2,3,5,2,96,"A","B","","","","","","","","","",96,1,1,1,2
"308",3402,"NG7",15,3,32,1,6,0,2,3,4,2,96,"A","B","","","","","","","","X","",96,2,1,1,1
"309",3403,"NG7",34,2,33,2,6,0,2,3,3,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"310",3404,"NG7",34,1,43,2,1,6,2,3,4,3,8,"A","B","","","","","","","I","","",9,2,1,1,1
"311",3405,"NG7",34,2,44,1,1,6,1,3,2,3,3,"A","B","","","","","","H","","","",8,2,2,1,1
"312",3407,"NG7",34,1,51,1,1,7,2,3,3,3,3,"A","B","","","","","","","","","",2,1,1,1,1
"313",3408,"NG7",34,1,33,1,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"314",3409,"NG7",34,1,33,1,1,2,2,3,5,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"315",3501,"NG7",35,1,34,2,6,0,2,3,3,2,96,"A","B","","","","","","","","X","",96,1,1,2,NA
"316",3502,"NG7",35,2,31,2,6,0,2,3,4,2,96,"A","B","","","","","","","","X","",96,2,1,2,NA
"317",3503,"NG7",35,2,35,2,4,1,2,3,4,3,2,"A","B","","","","","","H","","","",8,2,1,1,1
"318",3504,"NG7",35,2,35,1,1,2,2,3,5,3,2,"A","B","","","","","","H","","","",8,2,1,1,1
"319",3505,"NG7",35,2,36,1,1,5,2,3,3,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"320",3506,"NG7",35,1,26,2,6,0,2,3,3,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"321",3507,"NG7",35,2,43,1,1,4,2,3,4,2,10,"A","B","C","","","","","","","","",3,1,1,1,1
"322",3508,"NG7",35,2,47,1,1,8,2,3,4,3,2,"A","B","","","","","","H","","","",2,1,1,2,NA
"323",3509,"NG7",35,2,39,1,1,3,1,3,4,2,96,"A","B","","","","","","","","X","",96,2,1,2,NA
"324",3601,"NG7",36,2,34,2,6,0,2,3,4,3,96,"","B","","","","","","","","","",96,2,2,2,NA
"325",3603,"NG7",36,2,36,2,4,0,1,3,4,3,96,"A","B","","","","","","","","X","",2,2,1,2,NA
"326",3604,"NG7",36,2,32,2,1,1,2,3,4,3,2,"","B","","","","","","H","","","",2,2,1,2,NA
"327",3605,"NG7",36,2,43,1,1,4,2,3,4,3,96,"A","B","","","","","","","","X","",96,2,1,2,NA
"328",3606,"NG7",36,1,41,2,1,0,2,3,4,3,8,"A","B","","","","","","","I","","",9,1,1,2,NA
"329",3607,"NG7",36,2,39,1,1,4,2,3,4,3,8,"A","B","","","","","","H","I","","",9,2,1,1,2
"330",3608,"NG7",36,1,47,1,1,6,2,3,4,3,96,"A","B","","","","","","","I","X","",96,2,1,1,1
"331",3609,"NG7",36,2,49,1,1,9,1,3,6,3,2,"A","B","","","","","","H","","","",8,2,2,2,NA
"332",3610,"NG7",36,1,34,1,1,4,2,3,7,3,8,"A","B","","","","","","","I","","",9,2,1,1,2
"333",3701,"NG7",37,1,28,2,6,0,2,3,3,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"334",3704,"NG7",37,1,38,2,4,3,2,3,3,3,3,"A","B","","","","","","","","","",2,1,1,1,2
"335",3705,"NG7",37,2,34,1,1,3,2,3,4,3,3,"A","B","","","","","","","","","",2,1,1,2,NA
"336",3706,"NG7",37,1,35,1,1,2,1,3,4,3,96,"A","B","","","","","","H","","","",2,1,1,1,1
"337",3707,"NG7",37,1,31,2,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"338",3709,"NG7",15,1,25,1,6,0,2,3,4,3,96,"A","B","","","","","","","","X","",96,2,1,1,1
"339",3710,"NG7",37,2,41,1,1,9,2,3,2,3,3,"A","B","","","","","","","","","",2,2,1,1,2
"340",3711,"NG7",37,3,49,2,1,5,1,3,4,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"341",3703,"NG7",37,1,30,2,3,2,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"342",3406,"NG7",34,2,35,2,1,2,2,3,4,3,3,"A","B","","","","","","H","","","",2,2,1,1,1
